chain;date;nb_holders
Avalanche;2021-12-15;8987
Avalanche;2021-12-16;9158
Avalanche;2021-12-17;9317
Avalanche;2021-12-18;9383
Avalanche;2021-12-19;9638
Avalanche;2021-12-20;9912
Avalanche;2021-12-21;10144
Avalanche;2021-12-22;10423
Avalanche;2021-12-23;10662
Avalanche;2021-12-24;10866
Avalanche;2021-12-25;11053
Avalanche;2021-12-26;11152
Avalanche;2021-12-27;11287
Avalanche;2021-12-28;11384
Avalanche;2021-12-29;11455
Avalanche;2021-12-30;11587
Avalanche;2021-12-31;11677
Avalanche;2022-01-01;11784
Avalanche;2022-01-02;11893
Avalanche;2022-01-03;11996
Avalanche;2022-01-04;12148
Avalanche;2022-01-05;12413
Avalanche;2022-01-06;12500
Avalanche;2022-01-07;12594
Avalanche;2022-01-08;12671
Avalanche;2022-01-09;12768
Avalanche;2022-01-10;12870
Avalanche;2022-01-11;13105
Avalanche;2022-01-12;13345
Avalanche;2022-01-13;13509
Avalanche;2022-01-14;13482
Avalanche;2022-01-15;13486
Avalanche;2022-01-16;13466
Avalanche;2022-01-17;13465
Avalanche;2022-01-18;13450
Avalanche;2022-01-19;13431
Avalanche;2022-01-20;13420
Avalanche;2022-01-21;13409
Avalanche;2022-01-22;13407
Avalanche;2022-01-23;13409
Avalanche;2022-01-24;13402
Avalanche;2022-01-25;13400
Avalanche;2022-01-26;13399
Avalanche;2022-01-27;13401
Avalanche;2022-01-28;13400
Avalanche;2022-01-29;13398
Avalanche;2022-01-30;13396
Avalanche;2022-01-31;13387
Avalanche;2022-02-01;13387
Avalanche;2022-02-02;13406
Avalanche;2022-02-03;13403
Avalanche;2022-02-04;13397
Avalanche;2022-02-05;13404
Avalanche;2022-02-06;13401
Avalanche;2022-02-07;13398
Avalanche;2022-02-08;13403
Avalanche;2022-02-09;13402
Avalanche;2022-02-10;13401
Avalanche;2022-02-11;13409
Avalanche;2022-02-12;13401
Avalanche;2022-02-13;13394
Avalanche;2022-02-14;13395
Avalanche;2022-02-15;13392
Avalanche;2022-02-16;13388
Avalanche;2022-02-17;13392
Avalanche;2022-02-18;13395
Avalanche;2022-02-19;13394
Avalanche;2022-02-20;13388
Avalanche;2022-02-21;13387
Avalanche;2022-02-22;13390
Avalanche;2022-02-23;13385
Avalanche;2022-02-24;13379
Avalanche;2022-02-25;13375
Avalanche;2022-02-26;13373
Avalanche;2022-02-27;13375
Avalanche;2022-02-28;13373
Avalanche;2022-03-01;13371
Avalanche;2022-03-02;13363
Avalanche;2022-03-03;13362
Avalanche;2022-03-04;13364
Avalanche;2022-03-05;13366
Avalanche;2022-03-06;13366
Avalanche;2022-03-07;13363
Avalanche;2022-03-08;13357
Avalanche;2022-03-09;13354
Avalanche;2022-03-10;13355
Avalanche;2022-03-11;13353
Avalanche;2022-03-12;13351
Avalanche;2022-03-13;13347
Avalanche;2022-03-14;13350
Avalanche;2022-03-15;13344
Avalanche;2022-03-16;13342
Avalanche;2022-03-17;13342
Avalanche;2022-03-18;13336
Avalanche;2022-03-19;13333
Avalanche;2022-03-20;13331
Avalanche;2022-03-21;13330
Avalanche;2022-03-22;13329
Avalanche;2022-03-23;13329
Avalanche;2022-03-24;13326
Avalanche;2022-03-25;13332
Avalanche;2022-03-26;13331
Avalanche;2022-03-27;13331
Avalanche;2022-03-28;13331
Avalanche;2022-03-29;13329
Avalanche;2022-03-30;13329
Avalanche;2022-03-31;13329
Avalanche;2022-04-01;13328
Avalanche;2022-04-02;13327
Avalanche;2022-04-03;13324
Avalanche;2022-04-04;13322
Avalanche;2022-04-05;13321
Avalanche;2022-04-06;13321
Avalanche;2022-04-07;13318
Avalanche;2022-04-08;13316
Avalanche;2022-04-09;13315
Avalanche;2022-04-10;13313
Fantom;2021-11-01;0
Fantom;2021-11-02;0
Fantom;2021-11-03;0
Fantom;2021-11-04;0
Fantom;2021-11-05;0
Fantom;2021-11-06;0
Fantom;2021-11-07;0
Fantom;2021-11-08;0
Fantom;2021-11-09;0
Fantom;2021-11-10;0
